K,354.4,387.2,36.0,0x34417dff
K,352.8,477.6,16.0,0x4f4d5bff
K,415.2,456.8,32.0,0x23408cff
K,797.6,376.0,38.0,0x45a771ff
K,304.8,335.2,11.0,0xc2b34fff
S,349.0,458.0,23.0,0x761bb5ff
K,242.0,386.0,13.0,0xeac8e4ff
K,342.0,483.0,17.0,0x7f0e4bff
S,84.0,408.0,25.0,0xa767e9ff
S,460.0,285.0,24.0,0xdfaf5aff
S,10.0,342.0,24.0,0xbbadf0ff
S,71.0,378.0,24.0,0x36ec7aff
S,224.0,415.0,25.0,0xf551f5ff
S,104.0,269.0,13.0,0x2e0f5cff
S,228.0,284.0,36.0,0xeffe78ff
S,426.0,469.0,29.0,0x83eea0ff
E,485.0,255.0,15.0,29.0,0x1a5fabff
E,366.0,201.0,20.0,23.0,0xf370c1ff
E,437.0,414.0,27.0,11.0,0x1c53c6ff
E,458.0,112.0,32.0,36.0,0x16fc3aff
E,5.0,281.0,11.0,25.0,0x578f37ff
E,366.0,31.0,17.0,27.0,0xe1dfa3ff
E,26.0,232.0,15.0,17.0,0x95228eff
E,289.0,289.0,22.0,12.0,0xddb704ff
E,139.0,471.0,29.0,20.0,0x30ff26ff
E,153.6,225.6,31.0,26.0,0xe12118ff
E,233.0,411.0,11.0,31.0,0x90e581ff
E,237.0,417.0,38.0,23.0,0xf33dcbff
E,100.0,408.0,39.0,26.0,0x6dd54cff
E,21.0,194.0,22.0,16.0,0x8a8bf5ff
E,182.4,276.8,26.0,20.0,0x62a5b9ff
E,786.4,168.0,36.0,20.0,0x2606f3ff
E,14.0,223.0,10.0,27.0,0x870a12ff
E,25.0,422.0,10.0,22.0,0x86856dff
E,422.0,64.0,36.0,32.0,0x9535d7ff
E,17.0,64.0,23.0,18.0,0x3df6b1ff
E,274.0,215.0,15.0,10.0,0x23dff9ff
E,182.0,32.0,20.0,26.0,0x151efbff
E,303.0,20.0,34.0,35.0,0x506538ff
E,103.0,469.0,13.0,24.0,0x01905bff
E,276.0,459.0,20.0,33.0,0x477ac1ff
E,149.0,298.0,11.0,32.0,0xcb010fff
E,136.0,23.0,16.0,16.0,0x59bba3ff
E,310.0,204.0,31.0,10.0,0x8c6d1fff
E,367.2,393.6,34.0,36.0,0x41c2e7ff
E,128.8,221.6,15.0,38.0,0xbd9089ff
